Наименование товара,Токенизированное наименование,Единица измерения,Цена в чеке,Кол-во единиц,Дата,Регион,kkt,ОКАТО,Товар представитель,Объем,Требуемая упаковка,Цена за требуемую упаковку,Факт упаковка
11:3757 Бананы 1кг,11:3757 бананы 1 кг,кг,65.9,1.402,2019-01-27,Г.Москва,ea2a1b8a24fa196634f2905eb8051580,45000000000,Бананы,1.4,1,65.9,1.0
809 Бананы 1кг,бананы 1 кг,кг,58.99,1.06,2019-01-27,"Удмуртская Республика, ИГРИНСКИЙ Р-",6e764aa2bc6d61d395bed52ecbc37441,94218815000,Бананы,1.06,1,58.99,1.0
809 Бананы 1кг,бананы 1 кг,кг,56.04,1.685,2019-01-27,"Удмуртская Республика, ИГРИНСКИЙ Р-",6e764aa2bc6d61d395bed52ecbc37441,94218815000,Бананы,1.69,1,56.04,1.0
Бананы 1 кг.,бананы 1 кг,кг,105.0,0.946,2019-01-27,"Иркутская область, г Усолье-Сибирское",a79f7d8cad6a6e70838c75cb325f0ed9,25436000000,Бананы,0.95,1,105.0,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,71.9,0.65,2019-01-27,"Тамбовская область, р-н Первомайский, рп Первомайский",46a8e38308ad215c64ef96037dab2de5,68222551000,Бананы,0.65,1,71.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,61.9,1.716,2019-01-27,Г.Москва,506d461390bb2e85300e50c0c577a866,45000000000,Бананы,1.72,1,61.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,1.072,2019-01-27,"Волгоградская область, г Камышин",15a48a7e3d5a32e0dfed551f3d677e73,18415000000,Бананы,1.07,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,0.828,2019-01-27,"Волгоградская область, г Камышин",15a48a7e3d5a32e0dfed551f3d677e73,18415000000,Бананы,0.83,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,61.58,1.144,2019-01-27,"Волгоградская область, г Камышин",15a48a7e3d5a32e0dfed551f3d677e73,18415000000,Бананы,1.14,1,61.58,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,2.208,2019-01-27,"Волгоградская область, г Камышин",15a48a7e3d5a32e0dfed551f3d677e73,18415000000,Бананы,2.21,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,1.062,2019-01-27,"Волгоградская область, р-н Даниловский, рп Даниловка",eba1b5ef2a18717c449a69c84cceacaa,18206551000,Бананы,1.06,1,63.9,1.0
