Азитромицин,{}
Алмагель,{}
Амброксол,{}
Амлодипин,{}
Амоксициллин с клавулановой кислотой,{}
Апельсины,"{'68': 12.190000000000001, '28': 1.96, '94': 3.8700000000000006, '29': 5.24, '45': 4.46, '18': 9.150000000000002, '61': 8.870000000000001, '80': 0.77, '03': 11.84, '50': 0.36, '63': 9.690000000000001, '22': 15.859999999999998, '66': 3.11, '73': 3.59, '75': 5.949999999999999, '83': 1.31, '19': 1.6600000000000001, '52': 1.49, '78': 2.2800000000000002, '60': 1.1500000000000001, '46': 4.9799999999999995, '65': 0.89, '20': 1.09}"
Ацетилсалициловая кислота (Аспирин отечественный),{}
Бананы,"{'68': 8.879999999999999, '28': 2.09, '94': 17.36, '29': 6.040000000000001, '45': 10.700000000000001, '18': 17.590000000000003, '61': 8.709999999999999, '75': 7.2700000000000005, '80': 4.09, '03': 29.200000000000003, '38': 8.43, '36': 0.52, '22': 14.78, '50': 1.82, '63': 20.779999999999994, '66': 15.489999999999998, '73': 9.229999999999999, '46': 10.15, '19': 6.559999999999999, '83': 6.92, '57': 1.6599999999999997, '52': 1.69, '41': 0.87, '60': 3.1599999999999997, '12': 5.32, '01': 1.68, '65': 4.06, '40': 1.8, '20': 8.139999999999999, '32': 7.459999999999999, '56': 10.75, '58': 5.14, '53': 3.83, '14': 0.5}"
Бараночные изделия,"{'45': 0.7, '94': 1.0, '18': 1.2, '29': 0.6, '03': 0.8, '50': 0.2, '22': 1.2999999999999998, '66': 0.63, '46': 2.1, '75': 1.4500000000000002, '19': 1.1800000000000002, '63': 0.78, '52': 0.35, '60': 0.75, '53': 0.35, '12': 0.7, '73': 0.6}"
Бензин автомобильный марки АИ-92,{}
Бензин автомобильный марки АИ-95,{}
Бензин автомобильный,{}
Бинт,{}
Бисопролол,{}
Валидол,{}
"Варенье, джем, повидло","{'04': 1.0, '80': 0.4, '03': 0.6, '73': 0.39, '45': 1.2, '66': 0.79}"
Вермишель,"{'18': 1.35, '61': 0.45, '22': 0.9, '94': 0.2, '63': 3.8, '19': 0.45, '83': 0.45, '41': 0.45, '73': 0.9, '03': 2.6, '60': 0.45, '12': 0.2, '01': 0.45, '46': 0.45, '66': 0.45, '58': 0.45, '53': 0.45, '92': 0.45}"
Виноград,"{'94': 0.43, '80': 0.12, '28': 0.37}"
Вода минеральная и питьевая,"{'68': 5.5, '04': 3.5, '45': 10.919999999999998, '28': 3.0, '94': 2.0, '08': 7.0, '25': 0.5, '18': 24.0, '61': 15.5, '29': 7.5, '75': 27.43, '80': 7.0, '03': 25.0, '22': 31.75, '50': 1.0, '63': 11.5, '66': 49.239999999999995, '73': 20.0, '46': 26.25, '83': 3.5, '19': 0.33, '86': 1.0, '52': 0.5, '41': 9.1, '78': 4.5, '60': 2.0, '95': 1.0, '12': 3.5, '01': 1.0, '14': 6.75, '65': 3.5, '40': 4.49, '20': 1.0, '57': 1.83, '71': 5.0, '76': 1.0, '32': 9.0, '56': 5.0, '53': 3.0, '07': 5.0, '92': 1.5}"
Водка крепостью 40% об.спирта и выше,"{'30': 1.7, '68': 1.0, '94': 2.63, '28': 1.2, '45': 6.3999999999999995, '18': 4.5, '61': 1.0, '97': 100.1, '29': 1.2, '80': 2.75, '03': 2.0, '38': 1.25, '63': 4.25, '22': 3.25, '50': 2.25, '66': 3.0, '73': 1.75, '46': 3.95, '19': 1.25, '83': 0.5, '57': 1.5, '86': 1.0, '41': 3.2, '60': 0.75, '12': 1.0, '40': 2.7, '20': 0.35, '56': 0.5, '58': 0.25, '75': 0.5}"
Газовое моторное топливо,{}
Глицин,{}
Горох и фасоль,"{'68': 0.9, '18': 0.7, '61': 0.8, '80': 0.4, '03': 2.3200000000000003, '66': 1.6, '73': 0.45, '83': 0.8, '41': 0.38, '01': 0.8, '14': 0.42, '11': 0.12, '32': 0.8, '58': 1.1600000000000001, '22': 1.8, '28': 0.01, '45': 0.4, '63': 1.6}"
Грибы свежие,"{'78': 0.4, '60': 0.7, '45': 0.8099999999999999, '22': 0.8, '28': 0.25}"
Груши,"{'28': 0.63, '94': 4.03, '45': 0.82, '29': 0.77, '78': 1.32, '22': 1.1, '14': 1.05}"
Дизельное топливо,{}
Дротаверин (Но-шпа),{}
Жевательная резинка,{'14': 20.0}
Зелень свежая,"{'24': 0.15, '28': 0.1, '94': 0.51, '18': 0.2, '61': 0.05, '80': 0.4, '46': 0.1, '19': 0.25, '41': 0.33, '78': 0.01, '60': 0.01, '45': 0.72, '68': 0.2, '11': 0.02, '22': 0.5, '29': 0.05, '56': 0.05, '58': 0.05, '97': 0.05, '73': 0.15000000000000002, '75': 0.2, '57': 0.1}"
Земля для растений,"{'94': 15.0, '75': 30.0, '19': 25.0, '86': 5.0, '03': 30.0, '60': 5.0, '80': 15.0, '11': 90.0, '68': 5.0, '08': 15.0, '50': 20.0, '18': 20.0, '71': 5.0, '58': 5.0}"
"Зефир, пастила","{'18': 0.28, '61': 0.94, '03': 0.7000000000000001, '22': 0.88, '50': 0.37, '19': 0.62, '41': 0.28, '78': 0.22, '60': 0.22, '65': 0.22, '46': 0.22, '66': 0.28, '56': 0.22, '94': 0.22}"
Ибупрофен,{}
Индапамид,{}
Йогурт,"{'04': 2.5500000000000003, '45': 2.8, '28': 0.48, '29': 2.35, '18': 1.93, '75': 1.0, '80': 0.3, '03': 2.71, '22': 11.220000000000002, '50': 1.6800000000000002, '63': 9.26, '66': 2.12, '73': 1.82, '46': 3.0600000000000005, '19': 1.5399999999999998, '83': 2.3200000000000003, '57': 0.24000000000000002, '52': 1.28, '41': 2.0599999999999996, '60': 0.91, '12': 1.11, '01': 0.25, '65': 1.9900000000000002, '40': 0.15, '20': 0.89, '71': 0.63, '58': 0.26, '53': 2.4800000000000004, '92': 0.4}"
Какао,"{'19': 0.1, '65': 0.1, '68': 0.1, '73': 0.01}"
Кальмары мороженые,{'45': 0.5}
Капуста белокочанная свежая,"{'68': 3.95, '28': 5.79, '29': 1.58, '41': 1.49, '40': 1.18, '22': 20.32, '75': 2.06, '14': 1.82, '94': 0.66}"
Карамель,"{'68': 0.33999999999999997, '28': 0.18, '46': 0.25, '03': 0.45, '45': 0.3, '40': 0.5, '07': 0.06, '66': 0.25, '56': 0.3, '94': 0.02}"
Картофель,"{'68': 5.01, '04': 8.31, '28': 5.36, '45': 19.25, '18': 33.72, '61': 3.43, '80': 3.3, '03': 7.210000000000001, '38': 6.42, '63': 25.830000000000005, '94': 5.97, '66': 19.73, '73': 10.540000000000001, '46': 5.04, '19': 7.799999999999999, '86': 3.54, '12': 5.77, '41': 3.49, '01': 6.88, '65': 2.53, '40': 2.71, '71': 1.19, '22': 14.260000000000002, '32': 8.23, '56': 1.43, '58': 4.38, '53': 1.77, '97': 2.29, '75': 9.32, '92': 3.4699999999999998}"
"Кексы, рулеты","{'04': 0.35, '94': 0.4, '18': 0.18, '80': 0.1, '38': 0.28, '03': 1.76, '66': 0.31, '57': 0.28, '52': 0.15, '60': 0.56, '14': 0.8300000000000001, '40': 0.8, '22': 1.2100000000000002, '29': 0.15, '75': 1.2000000000000002, '92': 0.39, '32': 0.28}"
Кетчуп,"{'28': 0.35, '94': 1.33, '45': 0.5, '61': 0.35, '03': 1.64, '22': 1.85, '63': 1.26, '73': 0.35, '75': 1.0, '19': 1.26, '83': 0.49, '78': 0.5, '18': 0.76, '14': 0.2, '68': 1.0, '66': 1.2, '32': 0.85, '58': 0.53, '53': 0.52}"
Колбаса вареная,"{'18': 0.5, '61': 1.0, '03': 3.9, '38': 1.0, '50': 1.74, '66': 3.8000000000000003, '73': 1.1, '22': 4.5, '46': 4.1, '19': 1.9, '57': 0.4, '41': 0.35, '60': 1.0, '45': 0.53, '01': 1.5, '20': 3.35, '68': 1.5, '29': 0.5, '32': 0.45, '58': 0.5, '53': 1.0, '12': 1.0, '63': 1.6}"
Колбаса полукопченая и варено-копченая,"{'68': 0.5, '28': 0.77, '18': 1.1, '29': 2.42, '03': 2.32, '22': 2.8600000000000003, '50': 1.46, '45': 1.24, '19': 0.4, '86': 0.6, '60': 1.4, '01': 1.4, '40': 0.4, '71': 0.35, '32': 1.9800000000000002, '56': 0.4, '53': 0.7, '75': 0.6599999999999999, '94': 0.6599999999999999, '66': 0.3, '63': 0.3}"
Колбаса сырокопченая,"{'68': 0.2, '18': 0.3, '03': 0.3, '50': 0.77, '66': 0.55, '41': 0.1, '45': 0.12, '22': 0.30000000000000004, '53': 0.3, '75': 0.3}"
Колекальциферол (Витамин Д3),{'41': 930.0}
Комбинированные анальгетики,{}
Консервы мясные для детского питания,"{'80': 0.30000000000000004, '22': 0.7, '66': 0.38, '12': 0.68, '01': 0.08}"
Консервы мясные,"{'94': 0.33, '28': 0.34, '73': 0.5, '41': 0.33, '68': 0.33, '46': 0.34}"
Коньяк ординарный отечественный,"{'57': 0.5, '45': 1.2, '08': 0.5, '29': 0.6, '80': 0.5, '03': 5.75, '73': 0.75, '22': 0.44999999999999996, '19': 5.0, '86': 0.5, '41': 0.35, '18': 0.5, '20': 1.0499999999999998, '68': 0.5, '94': 0.25}"
Корвалол,"{'46': 50.0, '63': 25.0}"
Кофе натуральный в зернах и молотый,"{'19': 0.1, '78': 0.2, '03': 1.4000000000000001, '45': 0.1, '14': 0.2, '18': 0.5}"
Кофе натуральный растворимый,"{'68': 0.14, '94': 0.38, '18': 0.45, '61': 0.1, '03': 0.07, '22': 0.22000000000000003, '63': 0.30000000000000004, '66': 0.35, '73': 0.2, '46': 0.1, '57': 0.15, '60': 0.1, '01': 0.15, '40': 0.01}"
"Креветки мороженые, неразделанные","{'03': 1.0, '63': 1.0}"
Крупа гречневая-ядрица,"{'28': 0.9, '94': 0.9, '45': 1.8, '18': 3.3, '61': 0.9, '29': 1.46, '80': 0.9, '03': 5.0, '38': 2.5, '22': 19.3, '66': 6.4, '73': 1.7000000000000002, '19': 0.8, '41': 3.6799999999999997, '78': 0.9, '12': 1.6, '01': 0.8, '14': 0.8, '40': 0.9, '20': 2.4000000000000004, '46': 1.7000000000000002, '32': 3.2, '56': 1.7000000000000002, '58': 0.8, '53': 3.2, '63': 4.2}"
Крупа манная,"{'94': 1.6, '03': 3.2, '01': 0.8, '18': 0.8, '32': 0.8, '12': 1.6, '75': 0.7}"
